lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-96.2,37.8,10,0,0,0.532187301,-0.315869818,1.136021939,0.241810661,0.475498027,0.681685484,-22098,39711
-96.2,38.3,8,0,0,0.432719977,-0.458240418,0.655225436,0.339883376,0.479650679,0.888713002,-21949,95623
-96.2,38.8,7,0,0,0.290633866,-0.290634872,0.579367118,0.463026839,0.538659012,1.10349166,-21799,151535
-96.2,39.3,20,0,0,0.321017646,-0.219424487,0.579201788,0.513050633,0.562148462,1.293529944,-21650,207445
-96.2,39.8,6,0,0,0.242330656,-0.540627236,0.810424228,0.578740526,0.735733623,1.387867067,-21501,263347
-96.2,40.3,4,0,0,0.021834402,-0.751836896,1.319527091,0.721242736,0.977869628,1.311618527,-21352,319237
-96.2,40.8,7,0,0,-0.191020822,-0.933451616,0.97150672,0.895396616,1.036416093,1.410039332,-21203,375110
-96.2,41.3,12,0,0,-0.224900719,-1.072862522,-0.070355675,0.972106963,0.877547375,1.331685054,-21054,430962
-96.2,41.8,6,0,0,-0.325181124,-1.184128489,-0.169936283,1.066074264,0.917565728,1.314034435,-20905,486787
-96.2,42.3,13,0,0,-0.432995691,-1.307965126,0.178167606,1.140652442,1.049302568,1.39683892,-20756,542582
-96.2,42.8,3,0,0,-0.598885177,-1.379125004,0.897038367,1.29260866,1.386078339,1.514296345,-20607,598340
-96.2,44.3,1,0,0,-0.970901073,-1.566479461,0.730984045,1.466782609,1.596824768,1.695418466,-20162,765346
-96.2,44.8,1,0,0,-1.008144478,-1.628680836,0.676581121,1.535978024,1.622694427,1.565606828,-20013,820907
-96.2,45.3,2,0,0,-1.067731008,-1.690292551,0.438689238,1.631664728,1.685709515,1.482241686,-19865,876405
-96.2,45.8,1,0,0,-1.184068907,-1.588554536,0.224967057,1.722737789,1.692824296,1.640620457,-19718,931834
-96.2,46.3,11,0,0,-1.285229793,-1.585703851,0.27129438,1.808479615,1.787755023,1.887248991,-19570,987187
-96.2,46.8,17,0,0,-1.397660144,-1.647020406,0.282431141,1.840430146,1.850527504,2.052781193,-19422,1042460
-96.2,47.3,14,0,0,-1.407250033,-1.662557531,0.40276236,1.972611054,2.016130837,1.985256901,-19275,1097646
-96.2,47.8,25,0,0,-1.503644695,-1.695675651,0.623129271,2.078792628,2.213917426,1.940426705,-19128,1152738
-95.7,36.8,6,0,0,0.844749115,-0.06216334,0.750204929,-0.01390261,0.13770181,0.229886903,21848,-72093
-95.7,37.3,20,0,0,0.677929733,0.08674639,0.805269172,0.075517763,0.244507735,0.482116687,21702,-16196
-95.7,37.8,18,0,0,0.559187961,-0.135732543,0.827295552,0.191047577,0.378171252,0.615488844,21557,39710
-95.7,38.3,19,0,0,0.463095965,-0.147474436,0.685939307,0.288946725,0.406112651,0.799710667,21411,95621
-95.7,38.8,18,0,0,0.362107198,-0.015177844,0.565176867,0.387301487,0.408216906,1.033736497,21266,151534
-95.7,39.3,11,0,0,0.302847136,-0.246060969,0.56377071,0.478325733,0.506539951,1.225614945,21120,207443
-95.7,39.8,12,0,0,0.23553054,-0.504806405,0.897535209,0.576943559,0.760105126,1.204174397,20975,263345
-95.7,40.3,11,0,0,0.083300644,-0.832816473,0.644526714,0.684212642,0.785611292,1.199669612,20829,319235
-95.7,40.8,20,0,0,-0.136481389,-0.881102222,0.482013351,0.839186224,0.873743209,1.340204963,20684,375108
-95.7,41.3,12,0,0,-0.205806146,-0.965005807,0.04929718,0.918633514,0.849184124,1.224806462,20539,430960
-95.7,41.8,15,0,0,-0.350725497,-0.99830525,-0.071680019,1.030919784,0.915243044,1.324821824,20393,486786
-95.7,42.3,8,0,0,-0.535438503,-1.087836858,0.079448588,1.123771913,1.021959764,1.521790342,20248,542580
-95.7,42.8,3,0,0,-0.695174993,-1.161389824,0.389524034,1.236711774,1.219512084,1.662948473,20103,598339
