"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_06_June_MCR_weights.csv,Mean_June_Temperature_(JUNT)_midpoint,Celsius,-2.4 to 32.6,mean June temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_07_July_MCR_weights.csv,Mean_July_Temperature_(JULT)_midpoint,Celsius,0.9 to 36.1,mean July temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_08_August_MCR_weights.csv,Mean_August_Temperature_(AUGT)_midpoint,Celsius,-0.5 to 34.8,mean August temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_09_September_MCR_weights.csv,Mean_September_Temperature_(SEPT)_midpoint,Celsius,-5.6 to 30.4,mean September temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_10_October_MCR_weights.csv,Mean_October_Temperature_(OCTT)_midpoint,Celsius,-16.0 to 25.7,mean October temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_11_November_MCR_weights.csv,Mean_November_Temperature_(NOVT)_midpoint,Celsius,-25.9 to 23.0,mean November temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_12_December_MCR_weights.csv,Mean_December_Temperature_(DECT)_midpoint,Celsius,-29.3 to 20.5,mean December temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Group_Temperature_Annual_MCR_weights.csv,Mean_Annual_Temperature_(ANNT)_midpoint,Celsius,-16.9 to 24.2,mean annual temperature (degrees C) values for grouped taxa distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-BP are the grouped taxa as listed above for file Presence_Absence_of_Grouped_Taxa_on_25km_Grid.csv,NA,0 to 4,grouped taxa distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Bioclimate_AE_PE_MCR_weights.csv,Actual_Evapotranspiration/Potential_Evapotranspiration_(AE/PE)_midpoint,NA,0.023 to 0.999,moisture index (calculated as actual evapotranspiration divided by potential evapotranspiration) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Bioclimate_GDD5_MCR_weights.csv,Growing_Degree_Days_(GDD5)_midpoint, degree days,0 to 7015,growing degree days (on a 5 degrees C base) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Bioclimate_MTCO_MCR_weights.csv,Mean_Temperature_of_the_Coldest_Month_(MTCO)_midpoint,Celsius,-33.4 to 19.5,mean temperature of the coldest month (degrees C) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Bioclimate_MTWA_MCR_weights.csv,Mean_Temperature_of_the_Warmest_Month_(MTWA)_midpoint,Celsius,0.9 to 36.1,mean temperature of the warmest month (degrees C) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Bioclimate_Temperature_Maximum_MCR_weights.csv,Absolute_Maximum_Temperature_(TMAX)_midpoint,Celsius,18.1 to 51.5,absolute maximum temperature (degrees C) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Bioclimate_Temperature_Minimum_MCR_weights.csv,Absolute_Minimum_Temperature_(TMIN)_midpoint,Celsius,-73.2 to 0.7,absolute minimum temperature (degrees C) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_01_January_MCR_weights.csv,Mean_January_Total_Precipitation_(JANP)_midpoint,mm,0 to 512,mean January total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_02_February_MCR_weights.csv,Mean_February_Total_Precipitation_(FEBP)_midpoint,mm,0 to 414,mean February total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_03_March_MCR_weights.csv,Mean_March_Total_Precipitation_(MARP)_midpoint,mm,0 to 361,mean March total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_04_April_MCR_weights.csv,Mean_April_Total_Precipitation_(APRP)_midpoint,mm,0 to 315,mean April total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_05_May_MCR_weights.csv,Mean_May_Total_Precipitation_(MAYP)_midpoint,mm,0 to 274,mean May total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_06_June_MCR_weights.csv,Mean_June_Total_Precipitation_(JUNP)_midpoint,mm,0 to 260,mean June total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_07_July_MCR_weights.csv,Mean_July_Total_Precipitation_(JULP)_midpoint,mm,0 to 212,mean July total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_08_August_MCR_weights.csv,Mean_August_Total_Precipitation_(AUGP)_midpoint,mm,0 to 307,mean August total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_09_September_MCR_weights.csv,Mean_September_Total_Precipitation_(SEPP)_midpoint,mm,0 to 510,mean September total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_10_October_MCR_weights.csv,Mean_October_Total_Precipitation_(OCTP)_midpoint,mm,0 to 757,mean October total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_11_November_MCR_weights.csv,Mean_November_Total_Precipitation_(NOVP)_midpoint,mm,0 to 595,mean November total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_12_December_MCR_weights.csv,Mean_December_Total_Precipitation_(DECP)_midpoint,mm,0 to 555,mean December total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Precipitation_Annual_MCR_weights.csv,Mean_Annual_Total_Precipitation_(ANNP)_midpoint,mm,0 to 4930,mean annual total precipitation (mm) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Temperature_01_January_MCR_weights.csv,Mean_January_Temperature_(JANT)_midpoint,Celsius,-33.4 to 19.5,mean January temperature (degrees C) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
,Columns B-ZO are the species as listed above for file Presence_Absence_of_Individual_Species_on_25km_Grid.csv,NA,0 to 4,species distribution weights (1 = 1st and 100th percentiles; 2 = 2nd to 5th and 95th to 99th percentiles; 3 = 6th to 9th and 91st to 94th percentiles; 4 = 10th to 90th percentiles)
,,,,
Species_Temperature_02_February_MCR_weights.csv,Mean_February_Temperature_(FEBT)_midpoint,Celsius,-33.4 to 19.9,mean February temperature (degrees C) values for individual species distributions (These values may be assigned as midpoint values when using the MCR [mutual climatic range] approach.)
